Platform,Instrument,Imagery_Layer,Imagery_Product_Name,Image_Resolution,Sensor_Resolution,Format,Projection
SMAP/Sentinel-1,Radar + Radiometer,"Soil Moisture (L2, Active-Passive, Radiometer and Radar)",SMAP_Sentinel-1_L2_Active_Passive_Soil_Moisture,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 36 km (L2, Passive, Day, Single Channel Algorithm, H-pol)",SMAP_L2_Passive_Day_Soil_Moisture_Option1,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 36 km (L2, Passive, Day, Single Channel Algorithm, V-pol)  ", SMAP_L2_Passive_Day_Soil_Moisture_Option2 ,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 36 km (L2, Passive, Day, Dual Channel Algorithm) ", SMAP_L2_Passive_Day_Soil_Moisture_Option3 ,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 36 km (L2, Passive, Night, Single Channel Algorithm, H-pol)",SMAP_L2_Passive_Night_Soil_Moisture_Option1,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 36 km (L2, Passive, Night, Single Channel Algorithm, V-pol)",SMAP_L2_Passive_Night_Soil_Moisture_Option2,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 36 km (L2, Passive, Night, Dual Channel Algorithm)",SMAP_L2_Passive_Night_Soil_Moisture_Option3,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 9 km (L2, Passive, Day, Single Channel Algorithm, H-pol)",SMAP_L2_Passive_Enhanced_Day_Soil_Moisture_Option1,2km,9km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 9 km (L2, Passive, Day, Single Channel Algorithm, V-pol)",SMAP_L2_Passive_Enhanced_Day_Soil_Moisture_Option2,2km,9km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 9 km (L2, Passive, Day, Dual Channel Algorithm)",SMAP_L2_Passive_Enhanced_Day_Soil_Moisture_Option3,2km,9km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 9 km (L2, Passive, Night, Single Channel Algorithm, H-pol)",SMAP_L2_Passive_Enhanced_Night_Soil_Moisture_Option1,2km,9km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 9 km (L2, Passive, Night, Single Channel Algorithm, V-pol)",SMAP_L2_Passive_Enhanced_Night_Soil_Moisture_Option2,2km,9km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Soil Moisture 9 km (L2, Passive, Night, Dual Channel Algorithm)",SMAP_L2_Passive_Enhanced_Night_Soil_Moisture_Option3,2km,9km,png,"Geographic, Web Mercator"
SMAP,Radiometer,SMAP_L3_Passive_Day_Soil_Moisture,2km,36km,png,"Geographic, Web Mercator",
SMAP,Radiometer,SMAP_L3_Passive_Night_Soil_Moisture,2km,36km,png,"Geographic, Web Mercator",
SMAP,Radiometer,SMAP_L3_Passive_Enhanced_Day_Soil_Moisture,2km,9km,png,"Geographic, Web Mercator",
SMAP,Radiometer,SMAP_L3_Passive_Enhanced_Night_Soil_Moisture,2km,9km,png,"Geographic, Web Mercator",
SMAP,Radar,"Soil Moisture (L3, Active)   ",SMAP_L3_Active_Soil_Moisture,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar and Radiometer,"Soil Moisture (L3, Active/Passive)   ",SMAP_L3_Active_Passive_Soil_Moisture,2km,9km,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,Root Zone Soil Moisture (L4 12z Instantaneous)   ,SMAP_L4_Analyzed_Root_Zone_Soil_Moisture,2km,9km,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,Root Zone Soil Moisture Uncertainty (L4 12z Instantaneous)    ,SMAP_L4_Uncertainty_Analyzed_Root_Zone_Soil_Moisture,2km,9km,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,"Surface Soil Moisture (L4, 12z Instantaneous)   ",SMAP_L4_Analyzed_Surface_Soil_Moisture,2km,9km,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,"Surface Soil Moisture Uncertainty (L4, 12z Instantaneous)    ",SMAP_L4_Uncertainty_Analyzed_Surface_Soil_Moisture,2km,9km,png,"Geographic, Web Mercator"
,NLDAS,"Soil Moisture (Monthly, 0 - 10 cm, Mosaic LSM)",NLDAS_Underground_Soil_Moisture_Mosaic_Monthly,2 km,  1/8th-degree ,png,"Geographic, Web Mercator"
,NLDAS,"Soil Moisture (Monthly, 0 - 100 cm, Noah LSM)",NLDAS_Underground_Soil_Moisture_Noah_Monthly,2 km,  1/8th-degree ,png,"Geographic, Web Mercator"
,NLDAS,"Soil Moisture (Monthly, 0 - 100 cm, VIC LSM)",NLDAS_Underground_Soil_Moisture_VIC_Monthly,2 km,  1/8th-degree ,png,"Geographic, Web Mercator"
,GLDAS,"Soil Moisture (Monthly, Underground, Noah LSM)",GLDAS_Underground_Soil_Moisture_Monthly,2 km,1 degree,png,"Geographic, Web Mercator"
,MERRA-2,Soil Water Root Zone (Monthly),MERRA2_Soil_Water_Root_Zone_Monthly,2 km,,png,"Geographic, Web Mercator"
SMAP,Model Value-Added,"Surface Soil Temperature (L4, 12z Instantaneous)   ",SMAP_L4_Soil_Temperature_Layer_1,2km,9km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Air Temperature (L2, Day)",AIRS_L2_Surface_Air_Temperature_Day,2km,32 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Air Temperature (L2, Night)",AIRS_L2_Surface_Air_Temperature_Night,2km,32 km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Air Temperature (L3, Day, Daily)",AIRS_L3_Surface_Air_Temperature_Daily_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Air Temperature (L3, Night, Daily)",AIRS_L3_Surface_Air_Temperature_Daily_Night,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Air Temperature (L3, Day, Monthly)",AIRS_L3_Surface_Air_Temperature_Monthly_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Air Temperature (L3, Night, Monthly)",AIRS_L3_Surface_Air_Temperature_Monthly_Night,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (L2, Day)",AIRS_L2_Surface_Relative_Humidity_Day,2km,32km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (L2, Night)",AIRS_L2_Surface_Relative_Humidity_Night,2km,32km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (L3, Day, Daily)",AIRS_L3_Surface_Relative_Humidity_Daily_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (L3, Night, Daily)",AIRS_L3_Surface_Relative_Humidity_Daily_Night,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (L3, Day, Monthly)",AIRS_L3_Surface_Relative_Humidity_Monthly_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Relative Humidity (L3, Night, Monthly)",AIRS_L3_Surface_Relative_Humidity_Monthly_Night,2km,,png,"Geographic, Web Mercator"
MERRA-2,Model,Surface Pressure (Monthly),MERRA2_Surface_Pressure_Monthly,2km,0.625° × 0.5°,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Skin Temperature (L2, Day)",AIRS_L2_Surface_Skin_Temperature_Day,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Skin Temperature (L2, Night)",AIRS_L2_Surface_Skin_Temperature_Night,2km,45km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Skin Temperature (L3, Day, Daily)",AIRS_L3_Surface_Skin_Temperature_Daily_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Skin Temperature (L3, Night, Daily)",AIRS_L3_Surface_Skin_Temperature_Daily_Night,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Skin Temperature (L3, Day, Monthly)",AIRS_L3_Surface_Skin_Temperature_Monthly_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Surface Skin Temperature (L3, Night, Monthly)",AIRS_L3_Surface_Skin_Temperature_Monthly_Night,2km,,png,"Geographic, Web Mercator"
MERRA-2,Model,Surface Skin Temperature (Monthly),MERRA2_Surface_Skin_Temperature_Monthly,2km,0.625° × 0.5°,png,"Geographic, Web Mercator"
Terra,MODIS,Normalized Difference Vegetation Index (NDVI) (rolling 8-day)   ,MODIS_Terra_NDVI_8Day,250 m,250 m,png,"Geographic, Web Mercator"
Terra,MODIS,Enhanced Vegetation Index (EVI) (rolling 8-day)   ,MODIS_Terra_EVI_8Day,250 m,250 m,png,"Geographic, Web Mercator"
Terra,MODIS,"Enhanced Vegetation Index (L3, 16-Day)",MODIS_Terra_L3_EVI_16Day,250 m,250 m,png,"Geographic, Web Mercator"
Terra,MODIS,"Vegetation Index (L3, 16-Day)",MODIS_Terra_L3_NDVI_16Day,250 m,250 m,png,"Geographic, Web Mercator"
Terra,MODIS,"Enhanced Vegetation Index (L3, Monthly)",MODIS_Terra_L3_EVI_Monthly,250 m,250 m,png,"Geographic, Web Mercator"
Terra,MODIS,"Vegetation Index (L3, Monthly)",MODIS_Terra_L3_NDVI_Monthly,250 m,250 m,png,"Geographic, Web Mercator"
Aqua,MODIS,"Enhanced Vegetation Index (L3, 16-Day)",MODIS_Aqua_L3_EVI_16Day,250 m,250 m,png,"Geographic, Web Mercator"
Aqua,MODIS,"Vegetation Index (L3, 16-Day)",MODIS_Terra_L3_NDVI_16Day,250 m,250 m,png,"Geographic, Web Mercator"
Aqua,MODIS,"Enhanced Vegetation Index (L3, Monthly)",MODIS_Aqua_L3_EVI_Monthly,250 m,250 m,png,"Geographic, Web Mercator"
Aqua,MODIS,"Vegetation Index (L3, Monthly)",MODIS_Terra_L3_NDVI_Monthly,250 m,250 m,png,"Geographic, Web Mercator"
Landsat / WELD,ETM+,"Surface Normalized Difference Vegetation Index (NDVI) (NBAR, Global, Annual, V3.1)",Landsat_WELD_NDVI_Global_Annual,31.25m,30m,jpeg,"Geographic, Web Mercator"
Landsat / WELD,ETM+,"Surface Normalized Difference Vegetation Index (NDVI) (NBAR, Global, Monthly, V3.1)", Landsat_WELD_NDVI_Global_Monthly ,31.25m,30m,jpeg,"Geographic, Web Mercator"
Terra,MISR,Land NDVI Average (Monthly),MISR_Land_NDVI_Average_Monthly ,2km,0.5 degrees,png,Geographic(Monthly)
SMAP,Model Value-Added,"Percent of Potential Vegetation Light Use Efficiency (L4, 9km Grid Cell Mean)   ",SMAP_L4_Emult_Average,2km,9km,png,"Geographic, Web Mercator"
,,Last of the Wild,Last_of_the_Wild_1995-2004,1km,png,"Geographic, Web Mercator",1995-2004
,,Amphibian Richness - All Species,Amphibian_Richness_All_Species_2013,1km,png,"Geographic, Web Mercator",2013
,,Amphibian Richness - Vulnerable,Amphibian_Richness_Vulnerable_Species_2013,1km,png,"Geographic, Web Mercator",2013
,,Amphibian Richness - Critically Endangered,Amphibian_Richness_Critically_Endangered_Species_2013,1km,png,"Geographic, Web Mercator",2013
,,Amphibian Richness - Endangered,Amphibian_Richness_Endangered_Species_2013,1km,png,"Geographic, Web Mercator",2013
,,Amphibian Richness - All Threats,Amphibian_Richness_All_Threats_2013,1km,png,"Geographic, Web Mercator",2013
,,Mammal Richness - All Species,Mammal_Richness_Grids_All_Species_2013,1km,png,"Geographic, Web Mercator",2013
,,Mammal Richness - Vulnerable,Mammal_Richness_Grids_Vulnerable_Species_2013,1km,png,"Geographic, Web Mercator",2013
,,Mammal Richness - Critically Endangered,Mammal_Richness_Grids_Critically_Endangered_Species_2013,1km,png,"Geographic, Web Mercator",2013
,,Mammal Richness - Endangered,Mammal_Richness_Grids_Endangered_Species_2013,1km,png,"Geographic, Web Mercator",2013
,,Mammal Richness - All Threats,Mammal_Richness_Grids_All_Threats_2013,1km,png,"Geographic, Web Mercator",2013
,AVISO,Absolute Dynamic Topography,AVISO_Absolute_Dynamic_Topography,2km,,png,"Geographic, Web Mercator"
Terra,MODIS,Chlorophyll a ,MODIS_Terra_L2_Chlorophyll_A,1km,1km,png,"Geographic, Web Mercator"
Aqua,MODIS,Chlorophyll a ,MODIS_Aqua_L2_Chlorophyll_A,1km,1km,png,"Geographic, Web Mercator"
Suomi NPP,VIIRS,Chlorophyll a ,SNPP_VIIRS_L2_Chlorophyll_A,1km,,png,"Geographic, Web Mercator"
Terra,MODIS,Chlorophyll a  ,MODIS_Terra_Chlorophyll_A,1km,1km,png,"Geographic, Web Mercator"
Aqua,MODIS,Chlorophyll a  ,MODIS_Aqua_Chlorophyll_A,1km,1km,png,"Geographic, Web Mercator"
,MERRA-2,Open Water Latent Energy Flux,MERRA2_Open_Water_Latent_Energy_Flux_Monthly,2km,,png,"Geographic, Web Mercator"
Terra,MODIS,Photosynthetically Available Radiation (L2),MODIS_Aqua_L2_Photosynthetically_Available_Radiation,1 km,,png,"Geographic, Web Mercator"
Aqua,MODIS,Photosynthetically Available Radiation (L2),MODIS_Aqua_L2_Photosynthetically_Available_Radiation,1 km,,png,"Geographic, Web Mercator"
Suomi NPP,VIIRS,Photosynthetically Available Radiation (L2),VIIRS_SNPP_L2_Photosynthetically_Available_Radiation,1 km,,png,"Geographic, Web Mercator"
,OSCAR,Sea Surface Currents (Zonal),OSCAR_Sea_Surface_Currents_Zonal,2km,,png,"Geographic, Web Mercator"
,OSCAR,Sea Surface Currents (Meridional),OSCAR_Sea_Surface_Currents_Meridional,2km,,png,"Geographic, Web Mercator"
,"TOPEX/Poseidon, JASON",2km,,png,"Geographic, Web Mercator",,
,"TOPEX/Poseidon, JASON",2km,,png,"Geographic, Web Mercator",,
,"TOPEX/POSEIDON, JASON-1, OSTM/Jason-2, and Jason-3",Sea Surface Height Anomalies (L4),JPL_MEaSUREs_L4_Sea_Surface_Height_Anomalies,2km,,png,"Geographic, Web Mercator"
,"TOPEX/Poseidon, JASON",Sea Surface Height Anomalies (GDR Cycles),TOPEX-Poseidon_JASON_Sea_Surface_Height_Anomalies_GDR_Cycles,2km,,png,"Geographic, Web Mercator"
,"TOPEX/Poseidon, JASON"," Sea Surface Height Anomalies (US West Coast, GAFECC) ",TOPEX-Poseidon_JASON_Sea_Surface_Height_Anomalies_US_West_Coast_GAFECC,2km,,png,"Geographic, Web Mercator"
,"TOPEX/Poseidon, JASON",Sea Surface Height Anomalies (Reconstructed),TOPEX-Poseidon_JASON_Sea_Surface_Height_Anomalies_Reconstructed,2km,,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Sea Surface Salinity (L3, Monthly)", SMAP_L3_Sea_Surface_Salinity_REMSS_Monthly ,2 km,,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Sea Surface Salinity (L3, 8-Day Running Mean, Radiometer)",SMAP_L3_Sea_Surface_Salinity_REMSS_8Day_RunningMean,2 km,,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Sea Surface Salinity (L3, CAP, 8-Day Running Mean)",SMAP_L3_Sea_Surface_Salinity_CAP_8Day_RunningMean,2 km,,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Sea Surface Salinity (L3, CAP, Monthly)",SMAP_L3_Sea_Surface_Salinity_CAP_Monthly ,2 km,,png,"Geographic, Web Mercator"
SAC-D,Aquarius,"Sea Surface Salinity (L3, 3-Month) ",Aquarius_Sea_Surface_Salinity_L3_3Month,2 km,,png,"Geographic, Web Mercator"
SAC-D,Aquarius,"Sea Surface Salinity (L3, 7-Day Running Mean) ",Aquarius_Sea_Surface_Salinity_L3_7Day_RunningMean,2 km,,png,"Geographic, Web Mercator"
SAC-D,Aquarius,"Sea Surface Salinity (L3, 7-Day Snapshot)",Aquarius_Sea_Surface_Salinity_L3_7Day_Snapshot,2 km,,png,"Geographic, Web Mercator"
SAC-D,Aquarius,"Sea Surface Salinity (L3, Daily)",Aquarius_Sea_Surface_Salinity_L3_Daily,2 km,,png,"Geographic, Web Mercator"
SAC-D,Aquarius,"Sea Surface Salinity (L3, Monthly)",Aquarius_Sea_Surface_Salinity_L3_Monthly,2 km,,png,"Geographic, Web Mercator"
Multi-mission,GHRSST,Sea Surface Temperature (L4 MUR)      ,GHRSST_L4_MUR_Sea_Surface_Temperature,1 km,1km,png,"Geographic, Web Mercator"
Multi-mission,GHRSST,"Sea Surface Temperature (L4, MUR25)",GHRSST_L4_MUR25_Sea_Surface_Temperature,2 km,0.25 degrees,png,"Geographic, Web Mercator"
Multi-mission,GHRSST,Sea Surface Temperature (L4 G1SST)      ,GHRSST_L4_G1SST_Sea_Surface_Temperature,1 km,1km,png,"Geographic, Web Mercator"
AVHRR-OI,GHRSST,"Sea Surface Temperature (L4, AVHRR-OI)",GHRSST_L4_AVHRR-OI_Sea_Surface_Temperature,2 km,0.25 degrees,png,"Geographic, Web Mercator"
Multi-mission,GHRSST,"Sea Surface Temperature (L4, GAMSSA GDS2)",GHRSST_L4_GAMSSA_GDS2_Sea_Surface_Temperature,2 km,0.25 degrees,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (Day, L2)",MODIS_Terra_L2_Sea_Surface_Temp_Day,1 km,,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (Night, L2)",MODIS_Terra_L2_Sea_Surface_Temp_Night,1 km,,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (Day, L2)",MODIS_Aqua_L2_Sea_Surface_Temp_Day,1 km,,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (Night, L2)",MODIS_Aqua_L2_Sea_Surface_Temp_Night,1 km,,png,"Geographic, Web Mercator"
Suomi NPP,MODIS,"Sea Surface Temperature (Day, L2)",VIIRS_SNPP_L2_Sea_Surface_Temp_Day,1 km,,png,"Geographic, Web Mercator"
Suomi NPP,MODIS,"Sea Surface Temperature (Night, L2)",VIIRS_SNPP_L2_Sea_Surface_Temp_Night,1 km,,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, 8 Day, Mid Infrared, 4km)",MODIS_Aqua_L3_SST_MidIR_4km_Night_8Day,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, 8 Day, Mid Infrared, 9km)",MODIS_Aqua_L3_SST_MidIR_9km_Night_8Day,2 km,9 km,png,"Geographic, Web Mercator"
MODIS,MODIS,"Sea Surface Temperature (L3, Night, Annual, Mid Infrared, 4km)",MODIS_Aqua_L3_SST_MidIR_4km_Night_Annual,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Annual, Mid Infrared, 9km)",MODIS_Aqua_L3_SST_MidIR_9km_Night_Annual,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Daily, Mid Infrared, 4km)",MODIS_Aqua_L3_SST_MidIR_4km_Night_Daily,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Daily, Mid Infrared, 9km)",MODIS_Aqua_L3_SST_MidIR_9km_Night_Daily,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Monthly, Mid Infrared, 4km)",MODIS_Aqua_L3_SST_MidIR_4km_Night_Monthly,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Monthly, Mid Infrared, 9km)",MODIS_Aqua_L3_SST_MidIR_9km_Night_Monthly,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Day, 8 Day, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Day_8Day,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, 8 Day, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Night_8Day,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Day, 8 Day, Thermal, 9km)",MODIS_Aqua_L3_SST_Thermal_9km_Day_8Day,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, 8 Day, Thermal, 9km)",MODIS_Aqua_L3_SST_Thermal_9km_Night_8Day,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Day, Annual, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Day_Annual,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Annual, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Night_Annual,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Day, Annual, Thermal, 9km)",MODIS_Aqua_L3_SST_Thermal_9km_Day_Annual,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Annual, Thermal, 9km)",MODIS_Aqua_L3_SST_Thermal_9km_Night_Annual,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Day, Daily, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Day_Daily,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Daily, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Night_Daily,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,Aqua,"Sea Surface Temperature (L3, Day, Daily, Thermal, 9km)",MODIS_Aqua_L3_SST_Thermal_9km_Day_Daily,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Daily, Thermal, 9km)",MODIS_Aqua_L3_SST_Thermal_9km_Night_Daily,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Day, Monthly, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Monthly, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Night_Monthly,2 km,4 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Day, Monthly, Thermal, 9km)",MODIS_Aqua_L3_SST_Thermal_9km_Day_Monthly,2 km,9 km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Sea Surface Temperature (L3, Night, Monthly, Thermal, 9km)",MODIS_Aqua_L3_SST_Thermal_9km_Night_Monthly,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, 8 Day, Mid Infrared, 4km)",MODIS_Terra_L3_SST_MidIR_4km_Night_8Day,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, 8 Day, Mid Infrared, 9km)",MODIS_Terra_L3_SST_MidIR_9km_Night_8Day,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Annual, Mid Infrared, 4km)",MODIS_Terra_L3_SST_MidIR_4km_Night_Annual,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Annual, Mid Infrared, 9km)",MODIS_Terra_L3_SST_MidIR_9km_Night_Annual,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Daily, Mid Infrared, 4km)",MODIS_Terra_L3_SST_MidIR_4km_Night_Daily,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Daily, Mid Infrared, 9km)",MODIS_Terra_L3_SST_MidIR_9km_Night_Daily,2 km,9 km,png,"Geographic, Web Mercator"
MODIS,MODIS,"Sea Surface Temperature (L3, Night, Monthly, Mid Infrared, 4km)",MODIS_Terra_L3_SST_MidIR_4km_Night_Monthly,2 km,4 km,png,"Geographic, Web Mercator"
MODIS,MODIS,"Sea Surface Temperature (L3, Night, Monthly, Mid Infrared, 9km)",MODIS_Terra_L3_SST_MidIR_9km_Night_Monthly,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Day, 8 Day, Thermal, 4km)",MODIS_Terra_L3_SST_Thermal_4km_Day_8Day,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, 8 Day, Thermal, 4km)",MODIS_Terra_L3_SST_Thermal_4km_Night_8Day,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Day, 8 Day, Thermal, 9km)",MODIS_Terra_L3_SST_Thermal_9km_Day_8Day,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, 8 Day, Thermal, 9km)",MODIS_Terra_L3_SST_Thermal_9km_Night_8Day,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Day, Annual, Thermal, 4km)",MODIS_Aqua_L3_SST_Thermal_4km_Day_Annual,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Annual, Thermal, 4km)",MODIS_Terra_L3_SST_Thermal_4km_Night_Annual,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Day, Annual, Thermal, 9km)",MODIS_Terra_L3_SST_Thermal_9km_Day_Annual,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Annual, Thermal, 9km)",MODIS_Terra_L3_SST_Thermal_9km_Night_Annual,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Day, Daily, Thermal, 4km)",MODIS_Terra_L3_SST_Thermal_4km_Day_Daily,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Daily, Thermal, 4km)",MODIS_Terra_L3_SST_Thermal_4km_Night_Daily,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Day, Daily, Thermal, 9km)",MODIS_Terra_L3_SST_Thermal_9km_Day_Daily,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Daily, Thermal, 9km)",MODIS_Terra_L3_SST_Thermal_9km_Night_Daily,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Day, Monthly, Thermal, 4km)",MODIS_Terra_L3_SST_Thermal_4km_Day_Monthly,2 km,4 km,png,"Geographic, Web Mercator"
Terra,Terra,"Sea Surface Temperature (L3, Night, Monthly, Thermal, 4km)",MODIS_Terra_L3_SST_Thermal_4km_Night_Monthly,2 km,4 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Day, Monthly, Thermal, 9km)",MODIS_Terra_L3_SST_Thermal_9km_Day_Monthly,2 km,9 km,png,"Geographic, Web Mercator"
Terra,MODIS,"Sea Surface Temperature (L3, Night, Monthly, Thermal, 9km)",MODIS_Terra_L3_SST_Thermal_9km_Night_Monthly,2 km,9 km,png,"Geographic, Web Mercator"
Multi-mission,GHRSST,"Sea Surface Temperature Anomalies (L4, MUR)",GHRSST_L4_MUR_Sea_Surface_Temperature_Anomalies,1km,0.011 degrees,png,"Geographic, Web Mercator"
